temporada,hora,equipo,rival,condicion,goles_valencia,goles_rival,resultado_valencia,puntos,diferencia_goles,goles_descanso_valencia,goles_descanso_rival,resultado_descanso,fecha,anio,mes,dia_semana,semana_anio,temporada_id,temporada_num,franja,puntos_posibles,efectividad_puntos,resultado_num,victoria_bin,empate_bin,derrota_bin,local_bin,goles_totales,puntos_rolling_5,ventaja_descanso,remonto,remontado,partido_id,decada,competicion,jornada_num,fase_temporada
1994-1995,,Valencia,Espanol,Local,0.0,0.0,E,1,0.0,,,,1995-01-15,1995,1,Domingo,2,1994,2,,3,0.3333333333333333,0,0,1,0,1,0.0,3.0,,,,1994-1995_1995-01-15_ESPANOL_L,1990s,LaLiga,17,1
1994-1995,,Valencia,Compostela,Visitante,1.0,1.0,E,1,0.0,,,,1995-01-22,1995,1,Domingo,3,1994,2,,3,0.3333333333333333,0,0,1,0,0,2.0,3.0,,,,1994-1995_1995-01-22_COMPOSTELA_V,1990s,LaLiga,18,1
1994-1995,,Valencia,Zaragoza,Local,3.0,0.0,V,3,3.0,,,,1995-01-29,1995,1,Domingo,4,1994,2,,3,1.0,1,1,0,0,1,3.0,6.0,,,,1994-1995_1995-01-29_ZARAGOZA_L,1990s,LaLiga,19,1
1994-1995,,Valencia,Ath Madrid,Local,0.0,0.0,E,1,0.0,,,,1995-02-05,1995,2,Domingo,5,1994,2,,3,0.3333333333333333,0,0,1,0,1,0.0,6.0,,,,1994-1995_1995-02-05_ATHMADRID_L,1990s,LaLiga,20,2
1994-1995,,Valencia,Sevilla,Visitante,1.0,1.0,E,1,0.0,,,,1995-02-12,1995,2,Domingo,6,1994,2,,3,0.3333333333333333,0,0,1,0,0,2.0,7.0,,,,1994-1995_1995-02-12_SEVILLA_V,1990s,LaLiga,21,2
1994-1995,,Valencia,Tenerife,Visitante,2.0,1.0,V,3,1.0,,,,1995-02-19,1995,2,Domingo,7,1994,2,,3,1.0,1,1,0,0,0,3.0,9.0,,,,1994-1995_1995-02-19_TENERIFE_V,1990s,LaLiga,22,2
1994-1995,,Valencia,Sociedad,Local,4.0,2.0,V,3,2.0,,,,1995-02-26,1995,2,Domingo,8,1994,2,,3,1.0,1,1,0,0,1,6.0,11.0,,,,1994-1995_1995-02-26_SOCIEDAD_L,1990s,LaLiga,23,2
1994-1995,,Valencia,Oviedo,Visitante,0.0,1.0,D,0,-1.0,,,,1995-03-04,1995,3,Sábado,9,1994,2,,3,0.0,-1,0,0,1,0,1.0,8.0,,,,1994-1995_1995-03-04_OVIEDO_V,1990s,LaLiga,24,2
1994-1995,,Valencia,Valladolid,Local,3.0,0.0,V,3,3.0,,,,1995-03-12,1995,3,Domingo,10,1994,2,,3,1.0,1,1,0,0,1,3.0,10.0,,,,1994-1995_1995-03-12_VALLADOLID_L,1990s,LaLiga,25,2
1994-1995,,Valencia,Barcelona,Visitante,0.0,0.0,E,1,0.0,,,,1995-03-19,1995,3,Domingo,11,1994,2,,3,0.3333333333333333,0,0,1,0,0,0.0,10.0,,,,1994-1995_1995-03-19_BARCELONA_V,1990s,LaLiga,26,2
